"species","scientificName","total_records","first_year","last_year"
"Acridotheres tristis","Acridotheres tristis (Linnaeus, 1766)",1365,2018,2024
"Corvus splendens","Corvus splendens Vieillot, 1817",1157,2018,2024
"Passer domesticus","Passer domesticus (Linnaeus, 1758)",1040,2018,2024
"Pycnonotus cafer","Pycnonotus cafer (Linnaeus, 1766)",807,2018,2024
"Hirundo rustica","Hirundo rustica Linnaeus, 1758",538,2019,2024
"Corvus macrorhynchos","Corvus macrorhynchos Wagler, 1827",317,2018,2024
"Apus affinis","Apus affinis (J.E.Gray, 1830)",312,2019,2024
"Passer montanus","Passer montanus (Linnaeus, 1758)",289,2019,2024
"Dicrurus macrocercus","Dicrurus macrocercus Vieillot, 1817",286,2018,2024
"Lanius schach","Lanius schach Linnaeus, 1758",271,2019,2024
"Pycnonotus leucogenys","Pycnonotus leucogenys (J.E.Gray, 1835)",265,2018,2024
"Motacilla alba","Motacilla alba Linnaeus, 1758",248,2019,2024
"Parus cinereus","Parus cinereus Vieillot, 1818",227,2019,2025
"Phylloscopus humei","Phylloscopus humei (W.E.Brooks, 1878)",198,2019,2024
"Columba livia","Columba livia J.F.Gmelin, 1789",190,2018,2024
"Phoenicurus fuliginosus","Phoenicurus fuliginosus Vigors, 1831",188,2019,2024
"Motacilla cinerea","Motacilla cinerea Tunstall, 1771",164,2019,2024
"Psittacula krameri","Psittacula krameri (Scopoli, 1769)",157,2020,2024
"Trochalopteron lineatum","Trochalopteron lineatum (Vigors, 1831)",157,2018,2025
"Myophonus caeruleus","Myophonus caeruleus (Scopoli, 1786)",146,2018,2024
"Turdoides caudata","Argya caudata (Dumont, 1823)",127,2020,2024
"Chaimarrornis leucocephalus","Phoenicurus leucocephalus Vigors, 1831",115,2018,2024
"Passer cinnamomeus","Passer cinnamomeus (Temminck, 1836)",107,2019,2025
"Periparus ater","Periparus ater (Linnaeus, 1758)",106,2019,2024
"Milvus migrans","Milvus migrans (Boddaert, 1783)",103,2019,2024
"Periparus rufonuchalis","Periparus rufonuchalis (Blyth, 1849)",101,2019,2024
"Zosterops palpebrosus","Zosterops palpebrosus (Temminck, 1824)",100,2019,2024
"Emberiza cia","Emberiza cia Linnaeus, 1767",99,2018,2025
"Phylloscopus xanthoschistos","Phylloscopus xanthoschistos (J.E.Gray & G.R.Gray, 1847)",99,2020,2024
"Saxicola ferreus","Saxicola ferreus J.E.Gray & G.R.Gray, 1847",98,2019,2024
